# Time (s),Altitude (m)
13.599,2617.128
13.649,2636.98
13.699,2656.898
13.749,2676.884
13.799,2696.939
13.849,2717.061
13.899,2737.252
13.949,2757.511
13.999,2777.838
14.049,2798.232
14.099,2818.692
14.149,2839.22
14.199,2859.815
14.249,2880.477
14.299,2901.206
14.349,2922.003
14.399,2942.867
14.449,2963.797
14.499,2984.794
14.549,3005.857
14.599,3026.986
14.649,3048.183
14.699,3069.447
14.749,3090.778
14.799,3112.174
14.849,3133.635
14.899,3155.162
14.949,3176.755
14.999,3198.417
15.049,3220.145
15.099,3241.939
15.149,3263.798
15.199,3285.721
15.249,3307.709
15.299,3329.764
15.349,3351.887
15.399,3374.075
15.449,3396.329
15.499,3418.648
15.549,3441.031
15.599,3463.48
15.649,3485.994
15.699,3508.575
15.749,3531.221
15.799,3553.934
15.849,3576.711
15.899,3599.553
15.949,3622.46
15.999,3645.433
16.049,3668.47
16.099,3691.573
16.149,3714.743
16.199,3737.978
16.249,3761.278
16.299,3784.642
16.349,3808.072
16.399,3831.566
16.449,3855.126
16.499,3878.751
16.549,3902.441
16.599,3926.196
16.649,3950.017
16.699,3973.903
16.749,3997.854
16.799,4021.871
16.849,4045.953
16.899,4070.1
16.949,4094.311
16.999,4118.587
17.049,4142.927
17.099,4167.332
17.149,4191.804
17.199,4216.342
17.249,4240.945
17.299,4265.612
17.349,4290.343
17.399,4315.14
17.449,4340.002
17.499,4364.93
17.549,4389.923
17.599,4414.981
17.649,4440.105
17.699,4465.294
17.749,4490.547
17.799,4515.865
17.849,4541.248
17.899,4566.697
17.949,4592.211
17.999,4617.792
18.049,4643.438
18.099,4669.15
18.149,4694.927
18.199,4720.77
18.249,4746.678
18.299,4772.651
18.349,4798.689
18.399,4824.793
18.449,4850.965
18.499,4877.203
18.549,4903.508
18.599,4929.878
18.649,4956.313
18.699,4982.814
18.749,5009.381
18.799,5036.015
18.849,5062.715
18.899,5089.482
18.949,5116.315
18.999,5143.214
19.049,5170.179
19.099,5197.21
19.149,5224.308
19.199,5251.474
19.249,5278.707
19.299,5306.009
19.349,5333.377
19.399,5360.811
19.449,5388.312
19.499,5415.881
19.549,5443.517
19.599,5471.22
19.649,5498.993
19.699,5526.833
19.749,5554.742
19.799,5582.717
19.849,5610.76
19.899,5638.869
19.949,5667.043
19.999,5695.263
20.002,5696.675
20.006,5698.792
20.011,5701.969
20.02,5706.734
20.032,5713.882
20.051,5724.602
20.08,5740.676
20.123,5764.758
20.142,5775.679
20.171,5792.037
20.215,5816.52
20.265,5844.487
20.315,5872.368
20.365,5900.165
20.415,5927.877
20.465,5955.506
20.515,5983.053
20.565,6010.518
20.615,6037.902
20.665,6065.205
20.715,6092.426
20.765,6119.565
20.815,6146.621
20.865,6173.596
20.915,6200.492
20.965,6227.309
21.015,6254.048
21.065,6280.711
21.115,6307.295
21.165,6333.802
21.215,6360.231
21.265,6386.582
21.315,6412.855
21.365,6439.052
21.415,6465.173
21.465,6491.219
21.515,6517.192
21.565,6543.09
21.615,6568.915
21.665,6594.664
21.715,6620.339
21.765,6645.939
21.815,6671.466
21.865,6696.922
21.915,6722.305
21.965,6747.618
22.015,6772.86
22.065,6798.032
22.115,6823.132
22.165,6848.16
22.215,6873.117
22.265,6898.003
22.315,6922.82
22.365,6947.567
22.415,6972.248
22.465,6996.86
22.515,7021.406
22.565,7045.883
22.615,7070.292
22.665,7094.631
22.715,7118.903
22.765,7143.107
22.815,7167.244
22.865,7191.317
22.915,7215.325
22.965,7239.269
23.015,7263.148
23.065,7286.96
23.115,7310.706
23.165,7334.386
23.215,7358.001
23.265,7381.552
23.315,7405.04
23.365,7428.468
23.415,7451.833
23.465,7475.135
23.515,7498.372
23.565,7521.546
23.615,7544.656
23.665,7567.703
23.715,7590.69
23.765,7613.618
23.815,7636.485
23.865,7659.292
23.915,7682.039
23.965,7704.725
24.015,7727.349
24.065,7749.913
24.115,7772.416
24.165,7794.859
24.215,7817.244
24.265,7839.572
24.315,7861.841
24.365,7884.052
24.415,7906.204
24.465,7928.298
24.515,7950.333
24.565,7972.31
24.615,7994.23
24.665,8016.094
24.715,8037.902
24.765,8059.653
24.815,8081.347
24.865,8102.984
24.915,8124.565
24.965,8146.09
25.015,8167.559
25.065,8188.974
25.115,8210.335
25.165,8231.641
25.215,8252.892
25.265,8274.087
25.315,8295.228
25.365,8316.313
25.415,8337.345
25.465,8358.323
25.515,8379.248
25.565,8400.119
25.615,8420.938
25.665,8441.704
25.715,8462.417
25.765,8483.076
25.815,8503.682
25.865,8524.236
25.915,8544.738
25.965,8565.189
26.015,8585.589
26.065,8605.938
26.115,8626.235
26.165,8646.479
26.215,8666.671
26.265,8686.811
26.315,8706.901
26.365,8726.941
26.415,8746.932
26.465,8766.874
26.515,8786.767
26.565,8806.61
26.615,8826.403
26.665,8846.144
26.715,8865.834
26.765,8885.474
26.815,8905.065
26.865,8924.608
26.915,8944.104
26.965,8963.552
27.015,8982.953
27.065,9002.307
27.115,9021.611
27.165,9040.867
27.215,9060.073
27.265,9079.23
27.315,9098.34
27.365,9117.403
27.415,9136.42
27.465,9155.391
27.515,9174.316
27.565,9193.194
27.615,9212.024
27.665,9230.807
27.715,9249.542
27.765,9268.231
27.815,9286.875
27.865,9305.474
27.915,9324.027
27.965,9342.536
28.015,9360.999
28.065,9379.416
28.115,9397.789
28.165,9416.115
28.215,9434.397
28.265,9452.633
28.315,9470.824
28.365,9488.971
28.415,9507.074
28.465,9525.132
28.515,9543.146
28.565,9561.116
28.615,9579.043
28.665,9596.925
28.715,9614.765
28.765,9632.561
28.815,9650.314
28.865,9668.023
28.915,9685.687
28.965,9703.309
29.015,9720.887
29.065,9738.423
29.115,9755.916
29.165,9773.367
29.215,9790.776
29.265,9808.143
29.315,9825.468
29.365,9842.75
29.415,9859.99
29.465,9877.188
29.515,9894.343
29.565,9911.458
29.615,9928.531
29.665,9945.563
29.715,9962.554
29.765,9979.504
29.815,9996.412
29.865,1.001e4
29.915,1.003e4
29.965,1.005e4
30.015,1.006e4
30.065,1.008e4
30.115,1.01e4
30.165,1.011e4
30.215,1.013e4
30.265,1.015e4
30.315,1.016e4
30.365,1.018e4
30.415,1.02e4
30.465,1.021e4
30.515,1.023e4
30.565,1.025e4
30.615,1.026e4
30.665,1.028e4
30.715,1.029e4
30.765,1.031e4
30.815,1.033e4
30.865,1.034e4
30.915,1.036e4
30.965,1.037e4
31.015,1.039e4
31.065,1.041e4
31.115,1.042e4
31.165,1.044e4
31.215,1.045e4
31.265,1.047e4
31.315,1.048e4
31.365,1.05e4
31.415,1.052e4
31.465,1.053e4
31.515,1.055e4
31.565,1.056e4
31.615,1.058e4
31.665,1.059e4
31.715,1.061e4
31.765,1.062e4
31.815,1.064e4
31.865,1.066e4
31.915,1.067e4
31.965,1.069e4
32.015,1.07e4
32.065,1.072e4
32.115,1.073e4
32.165,1.075e4
32.215,1.076e4
32.265,1.078e4
32.315,1.079e4
32.365,1.081e4
32.415,1.082e4
32.465,1.084e4
32.515,1.085e4
32.565,1.087e4
32.615,1.088e4
32.665,1.09e4
32.715,1.091e4
32.765,1.092e4
32.815,1.094e4
32.865,1.095e4
32.915,1.097e4
32.965,1.098e4
33.015,1.1e4
33.065,1.101e4
33.115,1.103e4
33.165,1.104e4
33.215,1.105e4
33.265,1.107e4
33.315,1.108e4
33.365,1.11e4
33.415,1.111e4
33.465,1.113e4
33.515,1.114e4
33.565,1.115e4
33.615,1.117e4
33.665,1.118e4
33.715,1.12e4
33.765,1.121e4
33.815,1.122e4
33.865,1.124e4
33.915,1.125e4
33.965,1.127e4
34.015,1.128e4
34.065,1.129e4
34.115,1.131e4
34.165,1.132e4
34.215,1.133e4
34.265,1.135e4
34.315,1.136e4
34.365,1.137e4
34.415,1.139e4
34.465,1.14e4
34.515,1.142e4
34.565,1.143e4
34.615,1.144e4
34.665,1.146e4
34.715,1.147e4
34.765,1.148e4
34.815,1.15e4
34.865,1.151e4
34.915,1.152e4
34.965,1.153e4
35.015,1.155e4
35.065,1.156e4
35.115,1.157e4
35.165,1.159e4
35.215,1.16e4
35.265,1.161e4
35.315,1.163e4
35.365,1.164e4
35.415,1.165e4
35.465,1.166e4
35.515,1.168e4
35.565,1.169e4
35.615,1.17e4
35.665,1.172e4
35.715,1.173e4
35.765,1.174e4
35.815,1.175e4
35.865,1.177e4
35.915,1.178e4
35.965,1.179e4
36.015,1.18e4
36.065,1.182e4
36.115,1.183e4
36.165,1.184e4
36.215,1.185e4
36.265,1.186e4
36.315,1.188e4
36.365,1.189e4
36.415,1.19e4
36.465,1.191e4
36.515,1.193e4
36.565,1.194e4
36.615,1.195e4
36.665,1.196e4
36.715,1.197e4
36.765,1.199e4
36.815,1.2e4
36.865,1.201e4
36.915,1.202e4
36.965,1.203e4
37.015,1.205e4
37.065,1.206e4
37.115,1.207e4
37.165,1.208e4
37.215,1.209e4
37.265,1.21e4
37.315,1.212e4
37.365,1.213e4
37.415,1.214e4
37.465,1.215e4
37.515,1.216e4
37.565,1.217e4
37.615,1.218e4
37.665,1.22e4
37.715,1.221e4
37.765,1.222e4
37.815,1.223e4
