# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-4.667e-4,-0.093,-9.334,0.093,9.336,-8.146e-6,0,8.146e-6,180,0.002,0.163,35.353,-117.807,9.796,91.109,0,0,0,1.062e5,4.371e4,140.389,1.093,NaN,363.081,NaN,0.008,9.006e5,48.707,-1.574e-6,0.514,-9.28e-6,0.471,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.111e-5,24.13,457.303,89,0,2.536,10.925,940.419,337.919,0.01,0.011
0.02,-4.209e-4,-0.084,-8.418,0.084,8.419,-7.347e-6,0,7.347e-6,180,0.001,0.147,35.353,-117.807,9.796,90.9,0,0,0,1.062e5,4.369e4,140.384,1.093,NaN,363.077,NaN,0.008,9.019e5,146.021,-8.429e-7,0.514,-4.957e-6,0.471,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.001e-5,24.13,457.303,89,0,2.54,10.925,940.419,337.919,0.01,0.013
0.03,-3.751e-4,-0.075,-7.502,0.075,7.503,-6.547e-6,0,6.547e-6,180,0.001,0.131,35.353,-117.807,9.796,90.69,0,0,0,1.061e5,4.367e4,140.38,1.093,NaN,363.074,NaN,0.008,9.032e5,243.234,-3.829e-7,0.514,-2.245e-6,0.47,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.925e-6,24.13,457.303,89,0,2.543,10.925,940.419,337.919,0.01,0.016
0.04,-3.293e-4,-0.066,-6.585,0.066,6.586,-5.748e-6,0,5.748e-6,180,0.001,0.115,35.353,-117.807,9.796,90.482,0,0,0,1.061e5,4.365e4,140.376,1.093,NaN,363.07,NaN,0.008,9.045e5,340.448,-1.307e-7,0.514,-7.645e-7,0.47,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.835e-6,24.13,457.303,89,0,2.547,10.925,940.419,337.919,0.01,0.018
0.05,-2.835e-4,-0.057,-5.669,0.057,5.669,-4.948e-6,0,4.948e-6,180,9.895e-4,0.099,35.353,-117.807,9.796,90.274,0,0,0,1.061e5,4.363e4,140.371,1.093,NaN,363.067,NaN,0.008,9.058e5,437.662,-2.408e-8,0.514,-1.404e-7,0.47,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.745e-6,24.13,457.303,89,0,2.551,10.925,940.419,337.919,0.01,0.02
0.06,-2.376e-4,-0.048,-4.752,0.048,4.752,-4.148e-6,0,4.148e-6,180,8.295e-4,0.083,35.353,-117.807,9.796,90.046,0,0,0,1.061e5,4.361e4,140.367,1.093,NaN,363.064,NaN,0.008,9.241e5,534.875,0,0.512,0,0.468,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.654e-6,24.13,457.303,89,0,2.602,10.925,940.419,337.919,0.01,0.022
0.07,-1.918e-4,-0.038,-3.834,0.038,3.835,-3.347e-6,0,3.347e-6,180,6.694e-4,0.067,35.353,-117.807,9.796,89.828,0,0,0,1.061e5,4.36e4,140.363,1.092,NaN,363.06,NaN,0.008,9.425e5,632.089,6.436e-9,0.51,3.465e-8,0.466,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.563e-6,24.13,457.303,89,0,2.654,10.925,940.419,337.919,0.01,0.024
0.08,-1.459e-4,-0.029,-2.917,0.029,2.917,-2.546e-6,0,2.546e-6,180,5.092e-4,0.051,35.353,-117.807,9.796,89.618,0,0,0,1.06e5,4.358e4,140.358,1.092,NaN,363.057,NaN,0.008,9.609e5,729.303,7.294e-8,0.508,3.779e-7,0.465,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.471e-6,24.13,457.303,89,0,2.706,10.925,940.419,337.919,0.01,0.026
0.09,-9.998e-5,-0.02,-1.999,0.02,1.999,-1.745e-6,0,1.745e-6,180,3.49e-4,0.035,35.353,-117.807,9.796,89.415,0,0,0,1.06e5,4.356e4,140.354,1.092,NaN,363.054,NaN,0.008,9.794e5,826.516,2.695e-7,0.507,1.344e-6,0.463,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.379e-6,24.13,457.303,89,0,2.758,10.925,940.419,337.919,0.01,0.028
0.1,-5.407e-5,-0.011,-1.08,0.011,1.081,-9.439e-7,0,9.439e-7,180,1.887e-4,0.019,35.353,-117.807,9.796,89.221,0,0,0,1.06e5,4.354e4,140.349,1.092,NaN,363.05,NaN,0.008,9.978e5,923.73,6.598e-7,0.505,3.17e-6,0.461,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.286e-6,24.13,457.303,89,0,2.81,10.925,940.419,337.919,0.01,0.03
0.11,-8.149e-6,-0.002,-0.162,0.002,0.162,-1.422e-7,0,1.422e-7,180,2.84e-5,0.003,35.353,-117.807,9.796,89.033,0,0,0,1.06e5,4.352e4,140.345,1.092,NaN,363.047,NaN,0.008,1.014e6,1020.944,1.296e-6,0.503,6.03e-6,0.46,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.936e-7,24.13,457.303,89,0,2.855,10.925,940.419,337.919,0.01,0.032
0.12,3.779e-5,0.008,0.757,0.008,0.757,6.597e-7,0,6.597e-7,0,1.32e-4,0.013,35.353,-117.807,9.796,88.851,0,0,0,1.06e5,4.35e4,140.341,1.092,NaN,363.043,NaN,0.009,1.03e6,1118.158,2.232e-6,0.502,1.007e-5,0.458,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.997e-7,24.13,457.303,89,0,2.9,10.924,940.419,337.919,0.01,0.034
0.13,1.972e-4,0.024,1.676,0.024,1.677,3.442e-6,0,3.442e-6,0,4.244e-4,0.029,35.353,-117.807,9.796,88.527,0,0,0,1.06e5,4.348e4,140.336,1.092,NaN,363.04,NaN,0.009,1.046e6,1215.371,4.817e-6,0.501,2.106e-5,0.457,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.893e-6,24.13,457.303,89,0,2.945,10.924,940.419,337.919,0.01,0.036
0.14,5.701e-4,0.05,2.596,0.05,2.596,9.95e-6,0,9.95e-6,0,8.774e-4,0.045,35.353,-117.807,9.796,88.037,0,0,0,1.059e5,4.346e4,140.332,1.091,NaN,363.037,NaN,0.009,1.062e6,1312.585,1.166e-5,0.499,4.944e-5,0.455,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.98e-6,24.13,457.303,89,0,2.99,10.924,940.419,337.919,0.01,0.037
0.15,0.001,0.085,3.516,0.085,3.517,2.179e-5,0,2.179e-5,0,0.001,0.061,35.353,-117.807,9.796,87.389,0,0,0,1.059e5,4.344e4,140.328,1.091,NaN,363.033,NaN,0.009,1.079e6,1409.799,2.805e-5,0.498,1.153e-4,0.454,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.016e-5,24.13,457.303,89,0,3.035,10.924,940.419,337.919,0.01,0.039
0.16,0.002,0.13,4.436,0.13,4.437,4.057e-5,0,4.057e-5,0,0.002,0.077,35.353,-117.807,9.796,86.595,0,0,0,1.059e5,4.342e4,140.323,1.091,NaN,363.03,NaN,0.009,1.098e6,1507.012,6.371e-5,0.496,2.526e-4,0.453,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.544e-5,24.13,457.303,89,0,3.088,10.924,940.419,337.919,0.01,0.041
0.17,0.004,0.183,5.357,0.183,5.358,6.789e-5,0,6.789e-5,0,0.003,0.094,35.353,-117.807,9.796,85.663,0,0,0,1.059e5,4.34e4,140.319,1.091,NaN,363.026,NaN,0.009,1.118e6,1604.226,1.348e-4,0.495,5.152e-4,0.451,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.181e-5,24.13,457.303,89,0,3.141,10.924,940.419,337.919,0.01,0.043
0.18,0.006,0.246,6.278,0.246,6.279,1.054e-4,0,1.054e-4,0,0.004,0.11,35.353,-117.807,9.796,84.6,0,0,0,1.059e5,4.338e4,140.315,1.091,NaN,363.023,NaN,0.009,1.139e6,1701.44,2.659e-4,0.493,9.8e-4,0.449,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.928e-5,24.13,457.303,89,0,3.194,10.924,940.419,337.919,0.01,0.044
0.19,0.009,0.318,7.199,0.318,7.2,1.546e-4,0,1.546e-4,0,0.006,0.126,35.353,-117.807,9.796,83.414,0,0,0,1.058e5,4.337e4,140.31,1.091,NaN,363.02,NaN,0.01,1.161e6,1798.653,4.924e-4,0.491,0.002,0.448,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.784e-5,24.13,457.303,89,0,3.247,10.924,940.418,337.919,0.01,0.046
0.2,0.012,0.399,8.121,0.399,8.122,2.172e-4,0,2.172e-4,0,0.007,0.142,35.353,-117.807,9.796,82.115,0,0,0,1.058e5,4.335e4,140.306,1.091,NaN,363.016,NaN,0.01,1.183e6,1895.867,8.624e-4,0.49,0.003,0.446,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.75e-5,24.13,457.303,89,0,3.3,10.924,940.418,337.919,0.01,0.048
0.21,0.017,0.49,9.043,0.49,9.044,2.948e-4,0,2.948e-4,0,0.009,0.158,35.353,-117.807,9.796,80.692,0,0,0,1.058e5,4.333e4,140.302,1.091,NaN,363.013,NaN,0.01,1.203e6,1993.081,0.001,0.488,0.005,0.444,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.826e-5,24.13,457.303,89,0,3.344,10.924,940.417,337.919,0.01,0.05
0.22,0.022,0.589,9.965,0.589,9.967,3.89e-4,0,3.89e-4,0,0.01,0.174,35.353,-117.807,9.796,79.166,0,0,0,1.058e5,4.331e4,140.297,1.09,NaN,363.009,NaN,0.01,1.225e6,2090.294,0.002,0.487,0.007,0.443,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.011e-5,24.13,457.303,89,0,3.389,10.924,940.417,337.919,0.01,0.051
0.23,0.029,0.698,10.888,0.698,10.889,5.013e-4,0,5.013e-4,0,0.012,0.19,35.353,-117.807,9.796,77.548,0,0,0,1.058e5,4.329e4,140.293,1.09,NaN,363.006,NaN,0.01,1.249e6,2187.508,0.004,0.485,0.011,0.441,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.306e-5,24.13,457.303,89,0,3.434,10.924,940.416,337.919,0.01,0.053
0.24,0.036,0.816,11.811,0.816,11.812,6.335e-4,0,6.335e-4,0,0.014,0.206,35.353,-117.807,9.796,75.849,0,0,0,1.057e5,4.327e4,140.289,1.09,NaN,363.003,NaN,0.011,1.274e6,2284.722,0.005,0.483,0.016,0.44,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.711e-5,24.13,457.303,89,0,3.479,10.924,940.415,337.919,0.01,0.055
0.25,0.045,0.944,12.734,0.944,12.736,7.871e-4,0,7.871e-4,0,0.016,0.222,35.353,-117.807,9.796,74.077,0,0,0,1.057e5,4.325e4,140.284,1.09,NaN,362.999,NaN,0.011,1.301e6,2381.936,0.008,0.481,0.022,0.438,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.123e-4,24.13,457.303,89,0,3.524,10.924,940.414,337.919,0.01,0.059
0.26,0.055,1.08,13.658,1.08,13.66,9.637e-4,0,9.637e-4,0,0.019,0.238,35.353,-117.807,9.796,72.415,0,0,0,1.057e5,4.323e4,140.28,1.09,NaN,362.996,NaN,0.011,1.344e6,2479.149,0.011,0.479,0.029,0.435,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.285e-4,24.13,457.303,89,0,3.608,10.924,940.413,337.919,0.01,0.061
0.27,0.067,1.226,14.581,1.226,14.584,0.001,0,0.001,0,0.021,0.255,35.353,-117.807,9.796,70.728,0,0,0,1.057e5,4.321e4,140.276,1.09,NaN,362.992,NaN,0.012,1.389e6,2576.363,0.015,0.476,0.037,0.432,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.459e-4,24.13,457.303,89,0,3.692,10.924,940.412,337.919,0.01,0.062
0.28,0.08,1.381,15.506,1.381,15.508,0.001,0,0.001,0,0.024,0.271,35.353,-117.807,9.796,69.026,0,0,0,1.057e5,4.319e4,140.271,1.09,NaN,362.989,NaN,0.012,1.436e6,2673.577,0.02,0.473,0.046,0.43,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.643e-4,24.13,457.303,89,0,3.775,10.924,940.41,337.919,0.01,0.064
0.29,0.094,1.545,16.43,1.545,16.433,0.002,0,0.002,0,0.027,0.287,35.353,-117.807,9.796,67.315,0,0,0,1.056e5,4.317e4,140.267,1.089,NaN,362.986,NaN,0.012,1.485e6,2770.79,0.026,0.47,0.056,0.427,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.838e-4,24.13,457.303,89,0,3.859,10.924,940.409,337.919,0.01,0.065
0.3,0.111,1.719,17.355,1.719,17.358,0.002,0,0.002,0,0.03,0.303,35.353,-117.807,9.796,65.605,0,0,0,1.056e5,4.315e4,140.263,1.089,NaN,362.982,NaN,0.013,1.537e6,2868.004,0.034,0.468,0.068,0.424,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.045e-4,24.13,457.303,89,0,3.943,10.924,940.407,337.919,0.01,0.067
0.31,0.129,1.902,18.28,1.902,18.283,0.002,0,0.002,0,0.033,0.319,35.353,-117.807,9.796,63.336,0,0,0,1.056e5,4.313e4,140.258,1.089,NaN,362.979,NaN,0.013,1.559e6,2965.218,0.044,0.467,0.086,0.423,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.262e-4,24.13,457.303,89,0,3.924,10.924,940.405,337.919,0.01,0.068
0.32,0.149,2.094,19.206,2.094,19.209,0.003,0,0.003,0,0.037,0.335,35.353,-117.807,9.796,61.03,0,0,0,1.056e5,4.312e4,140.254,1.089,NaN,362.975,NaN,0.013,1.585e6,3062.431,0.056,0.465,0.106,0.422,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.491e-4,24.13,457.303,89,0,3.906,10.924,940.403,337.919,0.01,0.07
0.33,0.171,2.295,20.132,2.295,20.135,0.003,0,0.003,0,0.04,0.351,35.353,-117.807,9.796,58.702,0,0,0,1.056e5,4.31e4,140.249,1.089,NaN,362.972,NaN,0.013,1.615e6,3159.645,0.07,0.464,0.129,0.42,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.73e-4,24.13,457.303,89,0,3.887,10.923,940.4,337.918,0.01,0.071
0.34,0.195,2.505,21.058,2.506,21.061,0.003,0,0.003,0,0.044,0.368,35.353,-117.807,9.796,56.367,0,0,0,1.055e5,4.308e4,140.245,1.089,NaN,362.969,NaN,0.014,1.65e6,3256.859,0.088,0.462,0.154,0.418,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.981e-4,24.13,457.303,89,0,3.869,10.923,940.397,337.918,0.01,0.073
0.35,0.221,2.725,21.985,2.726,21.988,0.004,0,0.004,0,0.048,0.384,35.353,-117.807,9.796,54.041,0,0,0,1.055e5,4.306e4,140.241,1.089,NaN,362.965,NaN,0.014,1.689e6,3354.072,0.108,0.46,0.18,0.417,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.242e-4,24.13,457.303,89,0,3.85,10.923,940.395,337.918,0.01,0.075
0.36,0.249,2.954,22.911,2.955,22.915,0.004,0,0.004,0,0.052,0.4,35.353,-117.807,9.796,52.041,0,0,0,1.055e5,4.304e4,140.236,1.088,NaN,362.962,NaN,0.015,1.745e6,3451.286,0.13,0.458,0.204,0.414,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.515e-4,24.13,457.303,89,0,3.875,10.923,940.391,337.918,0.01,0.076
0.37,0.28,3.193,23.838,3.193,23.842,0.005,0,0.005,0,0.056,0.416,35.353,-117.807,9.796,50.086,0,0,0,1.055e5,4.302e4,140.232,1.088,NaN,362.958,NaN,0.015,1.805e6,3548.5,0.155,0.455,0.228,0.411,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.799e-4,24.13,457.303,89,0,3.899,10.923,940.388,337.918,0.01,0.078
0.38,0.313,3.44,24.766,3.441,24.77,0.005,0,0.005,0,0.06,0.432,35.353,-117.807,9.796,48.183,0,0,0,1.055e5,4.3e4,140.228,1.088,NaN,362.955,NaN,0.016,1.869e6,3645.714,0.184,0.452,0.252,0.409,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.093e-4,24.13,457.303,89,0,3.923,10.922,940.384,337.918,0.01,0.079
0.39,0.349,3.697,25.694,3.698,25.697,0.006,0,0.006,0,0.065,0.448,35.353,-117.807,9.796,46.338,0,0,0,1.055e5,4.298e4,140.223,1.088,NaN,362.951,NaN,0.016,1.938e6,3742.927,0.216,0.45,0.276,0.406,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.399e-4,24.13,457.303,89,0,3.947,10.922,940.38,337.918,0.01,0.08
0.4,0.387,3.961,26.391,3.962,26.395,0.007,0,0.007,0,0.069,0.461,35.353,-117.807,9.796,44.571,0,0,0,1.054e5,4.296e4,140.219,1.088,NaN,362.948,NaN,0.017,2.01e6,3815.881,0.252,0.447,0.299,0.403,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.713e-4,24.13,457.303,89,0,3.972,10.922,940.376,337.918,0.01,0.082
0.41,0.428,4.225,26.423,4.226,26.427,0.007,0,0.007,0,0.074,0.461,35.353,-117.807,9.796,42.417,0,0,0,1.054e5,4.294e4,140.215,1.088,NaN,362.945,NaN,0.017,2.066e6,3818.529,0.292,0.445,0.327,0.401,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.027e-4,24.13,457.303,89,0,3.924,10.922,940.371,337.917,0.01,0.083
0.42,0.472,4.489,26.412,4.49,26.416,0.008,0,0.008,0,0.078,0.461,35.353,-117.807,9.796,40.38,0,0,0,1.054e5,4.292e4,140.21,1.088,NaN,362.941,NaN,0.018,2.125e6,3816.721,0.335,0.443,0.354,0.399,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.341e-4,24.13,457.303,89,0,3.877,10.921,940.367,337.917,0.01,0.084
0.43,0.518,4.753,26.401,4.754,26.405,0.009,0,0.009,0,0.083,0.461,35.353,-117.807,9.796,38.456,0,0,0,1.054e5,4.29e4,140.206,1.087,NaN,362.938,NaN,0.018,2.186e6,3814.913,0.379,0.441,0.379,0.397,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.655e-4,24.13,457.303,89,0,3.829,10.921,940.361,337.917,0.01,0.086
0.44,0.567,5.017,26.39,5.018,26.394,0.01,0,0.01,0,0.088,0.461,35.353,-117.807,9.796,36.64,0,0,0,1.054e5,4.289e4,140.202,1.087,NaN,362.934,NaN,0.019,2.25e6,3813.105,0.426,0.439,0.402,0.395,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.969e-4,24.13,457.303,89,0,3.782,10.921,940.356,337.917,0.01,0.087
0.45,0.618,5.281,26.379,5.282,26.383,0.011,0,0.011,0,0.092,0.46,35.353,-117.807,9.796,34.926,0,0,0,1.053e5,4.287e4,140.197,1.087,NaN,362.931,NaN,0.019,2.316e6,3811.297,0.474,0.436,0.423,0.393,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.283e-4,24.13,457.303,89,0,3.734,10.92,940.35,337.917,0.01,0.089
0.46,0.672,5.545,26.368,5.545,26.372,0.012,0,0.012,0,0.097,0.46,35.353,-117.807,9.796,34.024,0,0,0,1.053e5,4.285e4,140.193,1.087,NaN,362.927,NaN,0.02,2.405e6,3809.489,0.522,0.434,0.432,0.39,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.597e-4,24.13,457.303,89,0,3.789,10.92,940.344,337.916,0.01,0.09
0.47,0.729,5.808,26.357,5.809,26.361,0.013,0,0.013,0,0.101,0.46,35.353,-117.807,9.796,33.187,0,0,0,1.053e5,4.283e4,140.189,1.087,NaN,362.924,NaN,0.021,2.494e6,3807.681,0.572,0.431,0.44,0.388,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.91e-4,24.13,457.303,89,0,3.844,10.92,940.338,337.916,0.01,0.092
0.48,0.789,6.072,26.346,6.073,26.35,0.014,0,0.014,0,0.106,0.46,35.353,-117.807,9.796,32.408,0,0,0,1.053e5,4.281e4,140.184,1.087,NaN,362.921,NaN,0.022,2.583e6,3805.873,0.623,0.429,0.447,0.385,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.224e-4,24.13,457.303,89,0,3.899,10.919,940.331,337.916,0.01,0.094
0.49,0.851,6.335,26.335,6.336,26.339,0.015,0,0.015,0,0.111,0.46,35.353,-117.807,9.796,31.681,0,0,0,1.053e5,4.279e4,140.18,1.087,NaN,362.917,NaN,0.022,2.673e6,3804.065,0.677,0.426,0.453,0.383,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.537e-4,24.13,457.303,89,0,3.953,10.919,940.324,337.916,0.01,0.095
0.5,0.915,6.598,26.323,6.599,26.327,0.016,0,0.016,0,0.115,0.459,35.353,-117.807,9.796,31.002,0,0,0,1.052e5,4.277e4,140.175,1.087,NaN,362.914,NaN,0.023,2.763e6,3802.258,0.732,0.424,0.458,0.38,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.85e-4,24.13,457.303,89,0,4.008,10.919,940.317,337.916,0.01,0.096
0.51,0.983,6.861,26.312,6.862,26.316,0.017,0,0.017,0,0.12,0.459,35.353,-117.807,9.796,29.908,0,0,0,1.052e5,4.275e4,140.171,1.086,NaN,362.91,NaN,0.024,2.84e6,3800.45,0.79,0.422,0.469,0.379,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.163e-4,24.13,457.303,89,0,3.988,10.918,940.309,337.915,0.01,0.098
0.52,1.052,7.124,26.301,7.125,26.305,0.018,0,0.018,0,0.124,0.459,35.353,-117.807,9.796,28.872,0,0,0,1.052e5,4.273e4,140.167,1.086,NaN,362.907,NaN,0.024,2.918e6,3798.642,0.85,0.42,0.477,0.377,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.476e-4,24.13,457.303,89,0,3.968,10.918,940.302,337.915,0.01,0.099
0.53,1.125,7.387,26.29,7.388,26.294,0.02,0,0.02,0,0.129,0.459,35.353,-117.807,9.796,27.891,0,0,0,1.052e5,4.271e4,140.162,1.086,NaN,362.903,NaN,0.025,2.996e6,3796.834,0.91,0.419,0.485,0.375,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.789e-4,24.13,457.303,89,0,3.947,10.917,940.294,337.915,0.01,0.101
0.54,1.2,7.65,26.279,7.651,26.283,0.021,0,0.021,0,0.134,0.459,35.353,-117.807,9.796,26.96,0,0,0,1.052e5,4.269e4,140.158,1.086,NaN,362.9,NaN,0.026,3.076e6,3795.026,0.973,0.417,0.492,0.373,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.101e-4,24.13,457.303,89,0,3.927,10.917,940.285,337.914,0.01,0.102
0.55,1.278,7.912,26.268,7.914,26.272,0.022,0,0.022,0,0.138,0.459,35.353,-117.807,9.796,26.077,0,0,0,1.051e5,4.267e4,140.154,1.086,NaN,362.897,NaN,0.026,3.156e6,3793.218,1.036,0.415,0.497,0.371,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.414e-4,24.13,457.303,89,0,3.907,10.916,940.276,337.914,0.01,0.103
0.56,1.358,8.175,26.256,8.176,26.26,0.024,0,0.024,0,0.143,0.458,35.353,-117.807,9.796,25.543,0,0,0,1.051e5,4.265e4,140.149,1.086,NaN,362.893,NaN,0.027,3.245e6,3791.41,1.1,0.413,0.5,0.37,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.726e-4,24.13,457.303,89,0,3.941,10.916,940.267,337.914,0.01,0.105
0.57,1.441,8.437,26.245,8.439,26.249,0.025,0,0.025,0,0.147,0.458,35.353,-117.807,9.796,25.038,0,0,0,1.051e5,4.264e4,140.145,1.086,NaN,362.89,NaN,0.028,3.335e6,3789.602,1.166,0.411,0.501,0.368,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,24.13,457.303,89,0,3.975,10.915,940.258,337.913,0.01,0.106
0.58,1.527,8.7,26.234,8.701,26.238,0.027,0,0.027,0,0.152,0.458,35.353,-117.807,9.796,24.559,0,0,0,1.051e5,4.262e4,140.141,1.085,NaN,362.886,NaN,0.029,3.424e6,3787.794,1.233,0.41,0.503,0.366,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,24.13,457.303,89,0,4.009,10.915,940.249,337.913,0.01,0.107
0.59,1.615,8.962,26.223,8.963,26.227,0.028,0,0.028,0,0.156,0.458,35.353,-117.807,9.796,24.105,0,0,0,1.051e5,4.26e4,140.136,1.085,NaN,362.883,NaN,0.029,3.514e6,3785.986,1.302,0.408,0.504,0.364,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,24.13,457.303,89,0,4.043,10.914,940.239,337.913,0.01,0.109
0.6,1.706,9.224,26.211,9.225,26.215,0.03,0,0.03,0,0.161,0.458,35.353,-117.807,9.796,23.675,0,0,0,1.051e5,4.258e4,140.132,1.085,NaN,362.879,NaN,0.03,3.605e6,3784.179,1.372,0.406,0.505,0.363,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,24.13,457.303,89,0,4.077,10.913,940.229,337.912,0.01,0.11
0.61,1.8,9.486,26.2,9.487,26.204,0.031,0,0.031,0,0.166,0.457,35.353,-117.807,9.796,22.73,0,0,0,1.05e5,4.256e4,140.128,1.085,NaN,362.876,NaN,0.031,3.68e6,3782.371,1.441,0.405,0.509,0.361,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,24.13,457.303,89,0,4.004,10.913,940.218,337.912,0.01,0.112
